item_name,b,a,Discrim_All,factor
TQ_RFR-N-OBJ4,-2.7276065349578857,0.9927817,0.9927817,All
TQ_RFR-N-PORT,-0.954820990562439,1.2587203,1.2587203,All
TQ_RFR-N-STRA,-1.386988878250122,0.7781939,0.7781939,All
TQ_RFR-N-WEAT,-0.9495083689689636,0.36134732,0.36134732,All
TQ_RFR-O-RORD,-2.0473947525024414,0.60653615,0.60653615,All
TQ_RFR-O-TMOD,-0.5468487739562988,0.44206932,0.44206932,All
TQ_RRE-L-DOOR,1.7401235103607178,0.4538659,0.4538659,All
TQ_RRE-L-LAND,0.7428381443023682,0.8810625,0.8810625,All
TQ_RRE-L-PORT,-0.524908721446991,1.1834283,1.1834283,All
TQ_RRE-L-STRA,-1.747162938117981,1.7375393,1.7375393,All
TQ_RRE-L-WIND,1.7551096677780151,0.6691932,0.6691932,All
TQ_RRE-N-LAND,-0.8417026400566101,0.87352395,0.87352395,All
TQ_RRE-N-PORT,-1.2532920837402344,1.5599867,1.5599867,All
TQ_RRE-N-STRA,-5.231513023376465,0.2816528,0.2816528,All
TQ_TCR-O-TSK1,4.2352399826049805,0.29079136,0.29079136,All
TQ_TCR-O-TSK2,2.596496343612671,0.29650995,0.29650995,All
TQ_TCR-O-TSK3,10.391975402832031,0.122226596,0.122226596,All
TQ_TCR-O-TSK4,190.2877960205078,0.006883568,-0.006883568,All
TQ_TCR-O-TSK5,13.657248497009276,0.101712435,-0.101712435,All
TQ_TCR-O-TSK6,-3.859015226364136,1.3074086,1.3074086,All
