composite_ID,TC_IFR-N-i1,TC_IFR-N-i2,TC_IFR-N-i3,TC_IFR-N-i4,TC_IFR-N-i5,TC_IFR-N-i6,TC_IFR-U-i1,TC_IFR-U-i2,TC_IFR-U-i3,TC_IFR-U-i4,TC_IFR-U-i5,TC_IFR-U-i6,TC_IFR-D-i1,TC_IFR-D-i2,TC_IFR-D-i3,TC_IFR-D-i4,TC_IFR-D-i5,TC_IFR-D-i6,TC_IFR-O-i1,TC_IFR-O-i2,TC_IFR-O-i3,TC_IFR-O-i4,TC_IFR-O-i5,TC_IFR-O-i6,TC_ICR-N-i1,TC_ICR-N-i2,TC_ICR-N-i3,TC_ICR-N-i4,TC_ICR-N-i5,TC_ICR-N-i6,TC_ICR-U-i1,TC_ICR-U-i2,TC_ICR-U-i3,TC_ICR-U-i4,TC_ICR-U-i5,TC_ICR-U-i6,TC_ICR-D-i1,TC_ICR-D-i2,TC_ICR-D-i3,TC_ICR-D-i4,TC_ICR-D-i5,TC_ICR-D-i6,TC_ICR-O-i1,TC_ICR-O-i2,TC_ICR-O-i3,TC_ICR-O-i4,TC_ICR-O-i5,TC_ICR-O-i6,TC_IRE-N-i1,TC_IRE-N-i2,TC_IRE-N-i3,TC_IRE-N-i4,TC_IRE-N-i5,TC_IRE-N-i6,TC_IRE-U-i1,TC_IRE-U-i2,TC_IRE-U-i3,TC_IRE-U-i4,TC_IRE-U-i5,TC_IRE-U-i6,TC_IRE-D-i1,TC_IRE-D-i2,TC_IRE-D-i3,TC_IRE-D-i4,TC_IRE-D-i5,TC_IRE-D-i6,TC_IRE-O-i1,TC_IRE-O-i2,TC_IRE-O-i3,TC_IRE-O-i4,TC_IRE-O-i5,TC_IRE-O-i6
A061_T1,4,3,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4
A061_T2,3,3,0,3,3,4,4,3,4,4,0,4,3,4,4,4,0,4,3,3,3,3,0,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,3,2,4,4,4
A061_T3,4,4,4,4,4,4,4,4,1,1,0,1,4,4,4,4,0,3,0,0,0,0,0,0,0,4,4,4,4,4,0,1,3,0,4,4,0,1,3,3,4,4,0,1,0,0,0,0,4,4,4,4,4,4,1,4,4,1,4,4,4,1,4,1,4,4,0,0,0,1,0,2
A061_T4,1,4,4,4,0,0,3,4,1,0,0,0,4,4,0,0,4,0,1,1,0,0,0,0,4,4,4,4,3,4,4,4,4,4,4,0,4,3,4,4,4,0,2,3,4,4,3,0,4,4,4,4,4,4,1,4,4,4,4,2,1,4,4,4,4,2,1,1,1,4,1,2
A062_T1,4,4,4,0,3,4,4,4,2,2,0,2,4,1,3,0,0,3,1,0,2,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,3,1,4,2,0,4,1,1,2,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,0,0,3,1,1,1,1,1,1
A062_T2,3,1,3,4,1,0,4,2,3,4,2,0,4,1,0,0,2,0,0,0,0,0,1,0,3,3,4,4,0,4,2,3,3,4,0,0,1,0,0,4,0,2,0,0,0,2,0,1,4,4,4,4,1,4,1,4,4,4,1,1,1,0,1,4,1,2,0,0,0,1,0,0
A062_T3,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,3,0,0,1,4,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,2,4,0,3,2,4,3,1,0,0,1,0,1,2,3,0,0,0,1,0,0,0
A062_T4,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,1,0,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,1,2,1,4,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0
A063_T1,3,3,3,1,1,0,3,1,3,1,1,1,1,1,3,1,1,0,1,1,3,0,1,0,2,1,3,3,3,3,1,1,2,2,1,2,1,1,2,1,0,1,1,1,3,1,1,1,3,3,3,4,4,4,3,2,4,1,4,1,1,2,3,1,1,2,1,1,4,1,1,1
A063_T2,2,0,0,3,1,1,1,1,3,1,1,0,3,2,1,0,0,0,1,1,1,1,1,0,3,1,2,3,3,3,1,1,2,3,2,3,2,0,2,0,1,1,1,0,1,1,1,1,3,3,3,3,3,4,1,2,2,1,2,3,1,1,3,0,2,1,1,1,1,1,1,1
A063_T3,0,2,0,0,0,0,3,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,2,3,3,1,3,2,1,3,0,0,1,1,1,0,2,0,1,0,0,0,0,0,0,0,2,2,2,2,3,2,1,2,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0
A063_T4,0,0,0,3,0,0,3,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,1,1,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0
A064_T1,4,4,4,4,0,1,4,4,4,4,2,1,1,4,3,4,2,1,2,2,1,2,0,0,4,4,4,4,4,4,4,4,3,4,2,4,4,2,2,4,3,1,2,1,1,3,1,1,4,4,4,4,4,4,4,4,2,4,3,4,4,2,2,4,0,1,1,1,1,4,0,0
A064_T2,1,0,2,4,4,1,4,4,0,1,4,0,0,1,0,0,4,0,1,1,0,0,1,1,4,4,4,4,4,4,1,3,1,4,4,0,1,0,4,1,0,2,0,0,1,1,2,0,4,4,3,3,4,4,0,3,1,4,4,4,1,0,4,0,0,1,0,0,0,0,1,1
A064_T3,4,0,4,4,4,2,4,0,4,1,0,1,0,3,1,2,1,0,0,1,3,0,0,0,4,3,4,4,3,4,4,0,4,0,2,0,0,0,0,2,0,2,0,0,3,0,0,0,4,3,3,4,3,3,4,1,4,1,0,0,0,0,0,2,2,2,0,0,3,0,0,0
A064_T4,4,4,4,4,3,4,1,0,0,1,0,4,4,4,3,0,3,0,2,0,0,0,0,0,4,4,4,4,1,4,0,0,2,0,0,0,4,4,0,3,1,4,0,1,0,0,0,0,3,4,2,4,3,3,0,1,3,1,2,0,4,4,1,3,0,2,0,1,0,0,0,0
A065_T1,0,0,0,4,0,2,4,4,0,0,0,0,4,1,0,0,0,0,4,1,1,0,0,0,4,4,4,0,1,4,4,4,0,0,1,1,4,4,4,0,1,1,1,2,2,0,1,1,2,4,4,4,4,4,1,4,0,4,4,1,1,1,0,2,1,1,0,1,0,1,2,0
A065_T2,2,1,0,1,0,0,2,0,0,1,0,0,2,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,2,0,0,0,1,1,2,0,1,0,0,1,1,0,0,0,1,2,1,3,4,4,4,2,4,1,1,2,0,2,0,1,1,1,0,1,2,1,1,1,0,1,1
A065_T3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,3,1,1,1,0,0,1,1,0,1,0,0,2,0,1,1,0,0,2
A065_T4,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,4,1,1,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1,3
A066_T1,3,0,4,2,1,1,4,0,3,2,2,0,1,0,1,2,0,1,4,0,4,1,4,2,4,4,4,4,4,4,4,1,2,1,0,1,2,1,1,1,0,1,1,1,4,2,0,0,4,4,4,4,3,4,4,0,4,1,2,2,0,1,3,1,1,1,0,0,3,1,1,1
A066_T2,4,4,1,1,3,3,1,4,1,1,1,4,1,1,3,1,1,0,0,0,0,0,0,0,4,4,4,4,4,4,1,2,2,1,0,4,4,0,0,0,0,0,1,1,1,0,0,0,4,4,4,3,4,3,2,4,4,0,2,4,4,1,1,0,2,1,1,0,0,0,0,0
A066_T3,4,1,2,4,4,1,4,4,2,2,1,0,0,0,0,1,1,0,2,1,0,0,0,0,4,4,0,4,2,4,1,2,0,4,2,2,1,0,0,0,0,1,0,0,0,0,0,0,4,4,2,4,4,4,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
A066_T4,0,0,4,2,0,2,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,2,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,2,4,4,2,3,2,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A067_T1,3,4,4,3,0,4,4,2,2,4,4,0,0,2,2,0,0,0,4,2,2,1,0,0,4,4,4,4,0,4,4,0,0,2,1,4,1,0,0,0,0,0,0,1,0,1,0,1,4,4,4,4,4,4,4,4,2,1,3,4,2,1,2,0,0,0,2,1,1,2,0,0
A067_T2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,3,1,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0
A067_T3,0,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2,4,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
A067_T4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A068_T1,4,0,4,4,4,0,4,3,4,3,4,2,3,4,2,4,4,4,2,3,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,4,4,2,2,4,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,4,4,2,2,4,3,2,3
A068_T2,2,4,0,4,0,0,4,4,2,3,2,0,4,4,1,4,2,0,4,1,1,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,2,2,4,4,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,1,2,4,2,4,1,0
A068_T3,4,4,0,4,4,0,4,4,4,4,0,0,2,2,2,2,0,0,1,1,1,2,0,0,4,4,3,4,4,4,4,4,2,4,4,4,3,2,1,1,1,1,1,4,0,1,2,1,4,4,4,4,4,4,4,4,3,4,4,4,4,1,3,2,1,2,1,3,1,2,2,1
A068_T4,0,4,4,0,0,0,4,4,0,0,0,0,4,1,0,0,0,0,4,4,0,0,0,0,4,4,4,3,3,3,3,4,4,2,1,2,2,1,4,1,1,1,1,3,4,1,1,0,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,2,1,2,1,2,2,1,1,1
A069_T1,4,0,1,4,0,4,1,1,4,1,0,1,4,4,1,0,1,1,3,4,4,4,0,0,2,4,3,4,3,4,2,1,2,1,1,2,2,1,1,1,1,3,0,4,0,0,1,2,4,4,4,4,3,3,1,3,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3
A069_T2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,1,4,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0
A069_T3,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A069_T4,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,4,4,4,4,2,0,0,1,0,0,2,0,0,2,0,0,2,0,0,1,0,0
A070_T1,4,0,0,4,0,0,4,4,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,4,4,4,4,4,4,4,4,0,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,4,4,4,0,0,0,0,4,2,0,0,0,0,0,0
A070_T2,4,4,0,4,0,0,4,1,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,2,3,1,2,1,0,4,0,3,0,0,0,0,0,0,0,0
A070_T3,0,0,0,4,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,3,3,1,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,3,3,4,4,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A070_T4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,4,1,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A071_T1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,4,4,3,1,1,2,3,4,4,4,4,4,4,4,4,4,4,1,4,1,1,3,4,0,1,1,2,1,3,0,2,4,4,4,4,4,4,4,4,4,4,1,4,0,3,4,4,0,2,1,3,1,4,0,3
A071_T2,3,3,2,3,0,3,3,0,3,3,3,2,3,0,1,3,0,1,1,0,0,1,0,1,3,4,4,4,4,4,1,3,4,4,3,4,2,1,0,0,0,2,2,0,0,2,0,2,4,4,2,4,3,3,4,4,3,4,2,4,3,0,1,1,1,1,1,0,0,1,0,1
A071_T3,0,4,1,0,3,4,4,3,3,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,4,1,2,3,3,1,3,1,1,2,3,1,2,0,1,1,0,0,1,0,0,0,0,2,4,2,1,4,3,2,4,2,1,3,3,2,1,1,0,2,0,1,1,0,0,1,0
A071_T4,3,0,3,0,3,0,3,0,4,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0,4,3,4,4,3,0,4,0,3,2,1,0,0,0,0,0,1,0,1,0,1,0,4,1,3,4,3,4,4,0,4,1,4,3,2,0,0,1,0,1,2,0,1,0,0,0
A072_T1,4,4,4,4,4,4,3,4,4,4,2,4,4,4,1,4,0,4,1,1,2,0,0,0,4,4,4,4,4,4,4,4,4,4,3,4,4,2,1,4,3,4,0,0,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,3,0,0,1,2,2,1
A072_T2,4,4,4,4,4,4,4,4,4,4,3,1,3,3,3,3,0,4,1,0,2,0,0,1,4,4,4,4,4,4,4,4,4,4,1,4,3,4,4,4,4,3,0,0,1,0,0,0,4,3,4,4,4,4,4,4,4,4,2,3,4,3,4,4,3,3,1,1,1,0,0,1
A072_T3,4,2,4,2,4,2,3,4,0,3,4,1,0,4,0,3,1,4,0,0,0,1,0,0,1,3,3,4,4,4,3,3,1,4,1,1,1,2,4,1,1,1,1,2,1,1,0,1,1,4,4,4,4,4,2,4,1,4,3,3,4,2,4,3,3,1,1,1,1,1,0,1
A072_T4,1,0,3,4,4,3,1,2,4,2,0,2,3,4,1,2,0,0,0,0,0,0,0,0,4,3,4,3,3,1,1,1,3,1,2,1,3,1,3,2,2,1,0,0,0,1,1,0,4,4,4,4,4,4,1,1,4,2,1,0,2,2,4,4,4,4,0,1,1,1,1,0
A073_T1,4,0,3,0,3,0,4,0,3,0,3,0,0,0,3,0,1,0,1,0,2,0,1,0,2,1,3,3,3,3,1,0,3,3,3,1,0,0,3,3,0,2,0,0,3,1,2,2,4,4,3,4,4,4,4,3,4,4,4,3,3,3,4,0,2,0,1,0,4,0,0,0
A073_T2,1,0,3,1,0,3,3,3,3,0,0,0,1,3,2,0,0,0,1,2,1,0,0,0,0,1,1,4,3,3,0,1,1,3,4,2,0,1,2,2,0,2,0,0,0,1,0,0,2,3,4,4,4,4,2,3,3,4,4,4,1,1,0,2,3,1,1,0,0,1,4,1
A073_T3,3,3,2,0,2,2,1,3,2,2,2,0,1,3,1,1,2,3,1,2,1,1,1,3,4,3,3,2,2,2,3,3,2,2,3,2,1,2,1,1,2,2,1,2,2,4,1,2,4,3,4,4,4,4,3,2,4,4,4,4,1,2,1,1,1,1,1,1,1,4,1,1
A073_T4,2,2,0,1,0,3,3,3,4,0,0,0,0,3,2,0,1,0,0,1,2,0,0,0,2,3,3,3,1,4,2,3,3,2,3,4,1,0,0,1,1,1,0,1,0,1,1,1,3,3,3,3,4,4,2,3,3,3,4,4,1,1,2,2,1,1,1,1,1,1,1,1
A074_T1,2,4,4,4,0,4,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,4,4,1,0,0,4,0,0,1,2,0,0,0,0,4,4,4,4,4,4,4,4,4,1,4,4,2,1,2,4,0,0,4,0,0,0,0,0
A074_T2,1,0,1,4,3,2,4,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,4,2,4,4,4,3,0,1,4,4,4,3,0,0,4,4,4,2,0,0,0,0,0,0,4,4,4,3,4,4,1,0,4,4,3,2,2,0,4,4,0,1,0,0,0,0,0,0
A074_T3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,4,4,2,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,4,4,0,0,0,1,0,4,4,0,0,0,0,0,0
A074_T4,4,0,4,4,0,0,4,0,4,2,0,0,0,0,0,4,0,0,1,0,4,1,0,0,3,0,4,4,4,0,0,0,4,4,0,0,0,0,2,4,0,0,0,0,4,3,0,0,1,4,1,4,3,0,0,0,4,4,0,0,0,0,1,4,0,0,0,0,3,2,0,0
A075_T1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,2,4,3,4,4,2,2,2,2,1,1,3,0,2,0,0,3,0,4,4,4,4,4,4,3,4,4,4,4,4,0,0,4,1,2,2,0,1,0,0,4,0
A075_T2,0,1,4,4,0,0,4,4,4,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,1,4,4,4,1,1,1,1,4,1,1,3,0,0,0,4,0,0,4,4,4,4,4,4,3,4,4,0,0,0,1,1,4,0,0,1,0,0,0,4,0,0
A075_T3,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A075_T4,4,0,4,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,1,1,4,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,4,4,3,4,1,3,2,1,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
A076_T1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,4,4,4,0,1,0,3,4,2,1,0,0,1,1,2,1,1,0,4,1,3,1,4,4,4,4,4,4,4,1,4,2,4,0,1,1,4,2,1,0,1,0,4,3,2,2
A076_T2,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4,4,4,4,2,4,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,2,0,1,4,4,4,4,4,4,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0
A076_T3,1,2,1,4,0,0,4,1,2,2,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,4,2,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,2,4,4,4,4,4,2,1,1,4,1,1,0,1,0,1,0,0,0,0,1,0,2,1
A076_T4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,4,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
A077_T1,4,4,0,4,4,4,4,4,1,1,1,1,1,0,1,1,4,0,1,1,1,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,1,1,4,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,1,1,4,1,0,1,1,0
A077_T2,0,0,4,4,4,3,4,4,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,4,3,3,4,4,4,0,0,0,4,4,2,0,0,0,0,1,1,0,0,0,3,0,0,4,4,4,4,4,4,0,0,0,4,4,0,1,0,1,0,0,0,0,0,0,2,0,0
A077_T3,4,4,4,3,0,0,4,4,4,2,0,0,2,0,0,2,4,4,2,0,2,0,0,0,4,1,4,4,0,0,4,0,4,2,0,0,1,0,0,2,0,0,2,0,3,0,0,0,4,2,3,2,2,1,4,0,4,1,0,0,1,0,0,2,0,1,2,0,4,0,0,0
A077_T4,0,0,4,2,1,4,4,4,0,0,0,4,0,4,1,1,0,0,0,1,0,0,0,0,4,4,4,4,4,4,1,0,4,4,1,4,0,0,4,0,2,0,0,0,0,0,0,0,4,4,4,4,4,4,1,2,4,4,0,4,0,0,4,1,1,1,0,0,0,1,0,0
A078_T1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,4,1,4,0,3,4,2,0,0,0,0,0,1,0,0,0,0,1,0,4,4,4,4,4,4,1,2,1,3,3,2,1,0,1,0,0,2,1,1,0,0,0,0
A078_T2,0,0,0,1,0,1,1,1,0,2,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,3,4,4,3,1,4,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,4,4,2,4,2,1,4,4,2,1,1,1,1,0,0,1,0,1,0,0,0,0,0
A078_T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,1,4,1,2,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,1,1,1,3,1,1,1,0,1,1,0,0,0,0,0,1,0,0
A078_T4,3,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,1,4,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,1,3,1,1,2,1,1,1,0,0,3,0,1,1,1,1,0,0,0,1,0,0
A079_T1,1,0,3,4,0,4,4,4,2,1,0,0,3,4,2,4,0,0,4,1,2,1,0,0,2,2,3,4,4,4,0,0,2,4,0,4,2,0,3,1,4,4,0,0,0,4,1,4,3,4,4,4,4,4,1,3,4,4,0,4,2,2,2,2,4,4,0,0,2,4,2,3
A079_T2,4,4,4,0,4,1,4,4,4,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,1,4,1,4,1,1,2,0,1,2,1,2,0,1,0,0,0,4,4,4,4,3,4,4,1,4,3,4,2,0,2,2,1,3,3,0,0,2,0,0,0
A079_T3,0,1,2,2,1,2,1,1,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,3,4,4,4,4,0,3,2,3,0,4,0,3,2,0,0,4,0,0,0,0,0,0,4,4,4,4,2,4,1,4,1,3,0,4,0,0,3,1,0,4,0,0,0,0,0,0
A079_T4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,0,0,2,3,3,4,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,4,4,4,2,4,4,2,3,4,1,0,0,1,4,3,0,0,2,1,1,1,0,0,0
A080_T1,1,3,4,4,2,0,4,4,4,4,0,0,2,4,0,4,0,4,3,3,0,2,0,0,4,4,4,4,4,4,4,4,2,4,4,3,2,2,4,3,1,1,2,2,1,1,4,1,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,2,2,2,2,2,2,4,2
A080_T2,4,1,4,4,0,0,4,1,4,2,0,0,1,2,4,4,0,0,2,1,4,3,0,0,4,4,4,4,1,4,4,4,4,4,1,1,1,1,4,4,1,1,1,1,4,3,1,1,4,4,4,4,4,4,4,2,4,2,2,2,4,2,4,4,2,1,1,1,4,2,1,1
A080_T3,2,2,1,2,1,4,1,2,1,1,1,2,4,2,3,1,1,1,1,1,1,1,1,1,4,1,4,4,2,4,4,1,4,4,2,2,4,0,3,1,2,3,1,0,4,1,1,2,4,4,4,4,4,4,3,2,3,3,2,1,1,2,2,1,2,4,4,1,2,2,1,1
A080_T4,3,0,1,1,0,0,1,2,1,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,4,4,4,1,1,1,4,3,3,1,0,1,4,1,1,0,0,0,4,1,1,1,0,0,4,4,3,3,4,4,3,2,1,1,1,2,4,1,1,1,1,0,2,1,1,0,0,0
A081_T1,1,1,1,4,0,1,2,2,1,1,1,0,4,2,2,0,1,0,4,1,2,0,1,0,3,3,4,4,4,4,3,3,4,4,4,4,1,3,3,4,4,3,1,2,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,1,1,2,4,3,2
A081_T2,3,4,2,4,2,3,2,3,4,4,4,1,3,0,1,0,0,3,3,3,2,3,2,2,4,4,4,4,3,4,2,4,4,3,2,4,4,1,0,2,2,1,2,2,2,3,3,2,4,4,3,4,4,4,2,4,4,4,1,4,3,1,0,1,1,1,1,2,3,2,1,3
A081_T3,4,1,4,3,3,2,4,1,3,3,2,2,0,1,1,3,1,3,2,1,3,2,3,2,4,4,4,4,4,4,4,2,4,4,4,1,1,1,1,4,2,0,2,1,3,2,3,0,4,4,3,4,4,4,4,1,4,3,4,1,0,2,2,3,2,1,1,1,2,2,2,1
A081_T4,4,4,4,0,4,4,1,3,2,3,1,3,4,2,2,3,1,3,2,1,2,2,1,2,4,4,4,4,4,4,3,3,4,1,1,4,2,2,2,2,3,2,1,2,2,1,2,2,4,4,3,4,3,3,2,3,3,1,2,3,3,3,2,1,3,2,2,2,2,1,1,2
A082_T1,1,4,4,3,1,4,1,4,3,4,4,0,1,0,1,0,2,0,2,0,1,0,0,0,4,4,4,4,4,4,4,3,4,2,4,3,1,0,0,4,0,0,2,0,0,0,0,0,4,4,4,4,4,4,4,4,4,3,4,4,1,1,2,2,0,0,0,2,0,0,0,0
A082_T2,4,0,4,2,4,0,4,0,4,1,4,0,1,0,0,0,1,0,0,0,3,0,0,0,4,4,4,4,4,4,4,1,4,2,4,0,0,0,0,1,2,1,0,0,0,0,0,0,4,4,3,4,4,4,4,1,4,2,4,1,0,1,1,1,4,1,1,0,4,0,1,0
A082_T3,4,0,0,4,0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,4,2,4,4,4,4,4,2,3,4,2,4,0,0,1,0,0,0,0,0,0,4,0,0,4,4,4,4,4,4,4,3,3,4,2,4,0,0,1,0,0,0,0,0,0,4,0,0
