UID,cluster,cluster_label,point_type,Total_Intercept_What_z,Total_Intercept_Where_z,Total_Slope_What_z,Total_Slope_Where_z
A035,0,"Average Baseline, Fast Decline",participant,-0.0696731399777552,-0.2678340863855137,-0.4240928746043736,-0.527495720283596
A036,1,"Average Baseline, Improving",participant,-0.0371161302119066,-0.3286172454787519,0.583775519402797,1.2562004366829491
A037,3,"High Baseline, Stable What / Improving Where",participant,0.8600570982899349,0.9126418940714672,0.2500072935349752,0.7575474579011208
A038,3,"High Baseline, Stable What / Improving Where",participant,0.8862360165876313,0.7231361075984167,-0.3531425782701125,0.1243352826661983
A039,3,"High Baseline, Stable What / Improving Where",participant,1.6783626390818378,1.938266710998746,-0.0191846044359308,0.9096039641422328
A040,2,"Low Baseline, Improving What / Fast Decline Where",participant,-1.45217091747224,-1.398840678697702,1.2252378365276957,0.0095850622095313
A041,0,"Average Baseline, Fast Decline",participant,0.13699662679971,0.1776698678582942,0.016993370620208,-0.1720791436988603
A042,2,"Low Baseline, Improving What / Fast Decline Where",participant,-0.8327588400612111,-1.3002149289646547,-0.9567421504046494,-1.8107416842361064
A043,3,"High Baseline, Stable What / Improving Where",participant,0.611212326948393,0.6489799618567831,-0.5812826677647942,0.3827020065451997
A044,1,"Average Baseline, Improving",participant,-1.1165797639590336,-1.3186336332726605,0.7483566225781264,0.4291739469546607
A045,2,"Low Baseline, Improving What / Fast Decline Where",participant,-1.4819264718611624,-1.6650715198334516,-0.1561276147351193,-1.508138026296756
A046,2,"Low Baseline, Improving What / Fast Decline Where",participant,-1.7501536688611454,-1.6881877894392878,0.5054255526185156,-1.526574157297105
A047,2,"Low Baseline, Improving What / Fast Decline Where",participant,-1.483667820092666,-1.4939515677816164,0.7001449848099845,-0.852158076556988
A048,0,"Average Baseline, Fast Decline",participant,0.5201135728998137,0.4048829012137461,-0.9017241834360488,0.4524024514057926
A049,3,"High Baseline, Stable What / Improving Where",participant,0.6457818080328105,0.8033038189559005,0.879642741746653,0.6830729089110643
A050,2,"Low Baseline, Improving What / Fast Decline Where",participant,-1.2916664995403264,-1.0490304521240017,0.0433026792519988,-0.7127167571603528
A051,1,"Average Baseline, Improving",participant,-0.3648990029118584,-0.0020005716012173,0.969666576746112,1.400088213106753
A052,0,"Average Baseline, Fast Decline",participant,0.4163552889782861,-0.2307392533311424,0.1974178789186577,-0.3422616081205749
A053,3,"High Baseline, Stable What / Improving Where",participant,0.596303999938087,0.6082082184194909,-0.1117698392688033,0.8662838601748876
A054,0,"Average Baseline, Fast Decline",participant,1.4414024353154773,1.562855709077753,-2.5298137983555504,-2.0790176806964125
A055,0,"Average Baseline, Fast Decline",participant,0.2514069506571097,0.0949078736837258,-0.7454583348229352,0.0263330499218614
A056,1,"Average Baseline, Improving",participant,-0.1171884967716929,-0.2219022595060942,0.1407955282382022,0.4252681779532141
A057,1,"Average Baseline, Improving",participant,-0.498410960215885,-0.8126441141732708,0.3064905410693176,0.218331447687078
A058,1,"Average Baseline, Improving",participant,-0.4938369624290474,-0.3753530093801981,0.7933953246594213,0.5710310516732774
A059,0,"Average Baseline, Fast Decline",participant,1.6350883518653092,1.4652863363430504,-1.3017779226457378,-1.0086378113650545
A060,0,"Average Baseline, Fast Decline",participant,0.6096477593950446,0.1822695704436379,-1.1932841814678792,-1.012849580177334
A061,3,"High Baseline, Stable What / Improving Where",participant,1.259618429622669,1.2272043907147714,1.542736132576596,2.184422258204461
A062,1,"Average Baseline, Improving",participant,0.156435859914566,0.2391884959328329,1.046242012663963,1.4391491149039704
A063,3,"High Baseline, Stable What / Improving Where",participant,0.3592787307171593,0.4249470202870849,0.0478061840975627,0.4335225147627162
A064,0,"Average Baseline, Fast Decline",participant,0.8480991926297832,0.2872871465839796,-0.4251628234484991,0.0033780572854463
A065,2,"Low Baseline, Improving What / Fast Decline Where",participant,-2.8985210202201315,-2.6719734671757287,0.2931383782272713,-1.6182703938032037
A066,1,"Average Baseline, Improving",participant,-0.7402753817739454,-0.8917300352271568,1.2098442795333588,0.4816272796870604
A067,1,"Average Baseline, Improving",participant,-1.192348849039873,-1.364175885622849,1.7876861842223208,0.6895051039194745
A068,3,"High Baseline, Stable What / Improving Where",participant,0.6069847024039482,0.5420011072981217,0.587480119259799,0.2571721479017942
A069,2,"Low Baseline, Improving What / Fast Decline Where",participant,-1.346124441434176,-1.8798797935481308,-0.10642526758121,-1.385843178102057
A070,1,"Average Baseline, Improving",participant,-0.1137895794358557,-0.4118943858642217,0.1952486177115355,0.8425706725642739
A071,3,"High Baseline, Stable What / Improving Where",participant,0.1225309622967926,0.3660600903900255,0.2451552331355041,0.420576495824444
A072,1,"Average Baseline, Improving",participant,-0.1458382608935695,0.189055271193853,0.8338819814000181,0.4198549040807531
A073,0,"Average Baseline, Fast Decline",participant,0.3145112589580718,0.7392350856006581,-0.8441542577762708,-0.7657008441778471
A074,1,"Average Baseline, Improving",participant,-0.9359086439102576,-0.1884883805214762,1.7429461643589714,1.2061491994408262
A075,1,"Average Baseline, Improving",participant,-0.566798410305692,-0.2597813832650175,0.4045320113302247,0.7663470850222136
A076,2,"Low Baseline, Improving What / Fast Decline Where",participant,-1.888087049828705,-1.7013149163106216,1.6312514152005149,0.0921932938464743
A077,0,"Average Baseline, Fast Decline",participant,0.8724629723479774,0.6454113446806979,-0.4598335231310601,-0.3719836148251075
A078,1,"Average Baseline, Improving",participant,-0.5085028872009322,-0.8255991390278838,0.0020415681372876,0.211947638546738
A079,1,"Average Baseline, Improving",participant,-0.7546417873693128,-0.6385463066221676,0.0200715965814949,0.346694260178586
A080,0,"Average Baseline, Fast Decline",participant,0.1646429119143725,0.1950357958474149,-0.134545363675032,-0.2856059617217683
A081,0,"Average Baseline, Fast Decline",participant,0.4584551548249074,0.7002370663488376,-1.4764685006524103,-1.4965023980748782
A082,0,"Average Baseline, Fast Decline",participant,0.8699535652925995,0.7138801586544279,-0.8008998278951418,-0.5425458483097444
A083,3,"High Baseline, Stable What / Improving Where",participant,0.642720544424977,1.2365329871479436,1.0289567538321285,1.2321731368442352
A084,0,"Average Baseline, Fast Decline",participant,-0.328810968649343,0.1535949843491482,-0.803284521755381,-0.758905930282473
A085,0,"Average Baseline, Fast Decline",participant,0.3632018517598013,0.4506560708665275,-0.2903284502353534,-0.177253090326143
A086,1,"Average Baseline, Improving",participant,-0.693704536581304,-0.5088509603999627,0.744471779001036,1.198902843935316
A087,3,"High Baseline, Stable What / Improving Where",participant,0.936487898776244,0.8411367139917404,-0.304522925158805,0.5488992721817453
A088,3,"High Baseline, Stable What / Improving Where",participant,2.1453595528153904,2.269125071860787,-1.1417783352604565,1.0939713288863424
A089,3,"High Baseline, Stable What / Improving Where",participant,1.05247057245609,1.2601778462584647,-0.0816184553913691,0.4871049325698428
A090,1,"Average Baseline, Improving",participant,-1.347302205845329,-0.934166773631184,1.6106428148332397,0.1032050516711807
A091,1,"Average Baseline, Improving",participant,-0.3878196131035468,-0.5995686232492208,0.3256165983513693,0.6639627240980159
A092,2,"Low Baseline, Improving What / Fast Decline Where",participant,-1.1898541130775853,-0.9969867124116314,0.1314611130906784,-0.6068115058387666
A093,0,"Average Baseline, Fast Decline",participant,0.9075101228813772,0.627084918222741,-1.94321685849938,-1.334886255938121
A094,2,"Low Baseline, Improving What / Fast Decline Where",participant,-1.211159452858631,-1.3603361639142468,0.3863366895091207,-0.7028673130876727
A095,1,"Average Baseline, Improving",participant,0.069078704748556,-0.1782333358411089,1.143981461044066,1.4588752221344865
A096,2,"Low Baseline, Improving What / Fast Decline Where",participant,-2.353962577478229,-1.837211274946437,1.1146210431549517,-0.2655555455620355
A097,0,"Average Baseline, Fast Decline",participant,0.2644038510340774,0.1966689456154992,-1.473270206457569,-1.8434793241984184
A098,0,"Average Baseline, Fast Decline",participant,0.7822917259336236,0.6219441626601153,-1.1269733376931628,-0.1532783970002364
A099,3,"High Baseline, Stable What / Improving Where",participant,0.4545416877161072,1.211354588738759,0.1302798049407894,-0.3243256776225651
A100,0,"Average Baseline, Fast Decline",participant,0.6337619779520949,0.3773107137116281,-1.456585910640222,-1.4980123157215788
A101,2,"Low Baseline, Improving What / Fast Decline Where",participant,-1.840715618065152,-1.5463173450181111,-0.0531575156441151,-1.2543824514631348
A102,0,"Average Baseline, Fast Decline",participant,0.1032202624227826,-0.0259229319375911,-0.9604322406632462,-0.2551319749755642
A103,1,"Average Baseline, Improving",participant,-0.8007164680084538,-0.8795977500551292,2.2383500764026283,1.8674099547211669
A104,1,"Average Baseline, Improving",participant,-0.011359492338604,-0.0067728107667256,2.268671993940504,2.200339572914204
A105,0,"Average Baseline, Fast Decline",participant,0.3854983422229695,0.435115942617265,-0.4640704729691906,-0.4900103871615225
A106,0,"Average Baseline, Fast Decline",participant,1.2657786242708975,1.0266453809546976,-1.064227806465998,-0.8237846633773435
A107,2,"Low Baseline, Improving What / Fast Decline Where",participant,-1.6922119366099853,-1.843910324767961,-0.0479448979455221,-1.2569838439792926
A108,2,"Low Baseline, Improving What / Fast Decline Where",participant,-1.4458973349283533,-0.997491338159292,-0.201880535739053,-1.232732185820686
A109,2,"Low Baseline, Improving What / Fast Decline Where",participant,-1.074804238830671,-1.0476141840414477,0.0317865706147607,-0.9237144317338716
Centroid_0,0,"Average Baseline, Fast Decline",centroid,0.5440507355303777,0.4691146185676419,-0.9623978559306556,-0.673837852548147
Centroid_1,1,"Average Baseline, Improving",centroid,-0.397543348763146,-0.3705333997082243,0.9774305853444318,0.9450658825143547
Centroid_2,2,"Low Baseline, Improving What / Fast Decline Where",centroid,-1.561417915202838,-1.5563075498954726,0.3037724891575968,-0.9431180823447516
Centroid_3,3,"High Baseline, Stable What / Improving Where",centroid,0.9520785181433022,1.0496861721904318,0.1112702162200198,0.7278592305890604
