UID,domain,random_intercept,random_slope
A020,Where,0.19519396462605154,-0.003028111477321638
A021,Where,0.09503226970562895,0.003839475074970532
A022,Where,-0.6063025590366096,0.0012218307886918396
A023,Where,-0.0010131414875407829,0.00300403746828816
A024,Where,0.07280066948409644,0.0010468774029826545
A025,Where,0.32098070050484045,-0.003929546723867265
A026,Where,0.13579683644444235,0.0037867682411071002
A027,Where,0.28143768968207145,-0.0032643035987506203
A028,Where,0.4324061926447732,-0.00278215464639321
A029,Where,0.4947740849437779,0.0004979343777695886
A030,Where,0.07175344757388137,0.0030346507457852797
A031,Where,0.4758122075894696,-0.004457752857364111
A032,Where,0.1441102229054445,0.0027435516432425078
A033,Where,0.1648662898958672,0.0011349868379700054
A034,Where,0.495704897514118,-0.0019756379657450193
A035,Where,0.10007718571708317,0.0006810516164431711
A036,Where,-1.0180915418442786,-0.0012571791702542003
A037,Where,0.2653236512359762,-0.0021367869325866077
A038,Where,0.24424112207047705,0.003014035108916704
A039,Where,0.5934838925740993,0.0009238231247426244
A040,Where,0.09718692774236684,0.0004739238409301083
A041,Where,0.22069353486300922,0.0030420030232252817
A042,Where,-0.49116740190983005,0.001733063421841178
A043,Where,0.6260697708974318,-0.0005669334330977296
A044,Where,-0.2887853633967357,-0.004661814685771193
A045,Where,-0.16830764265348894,0.0016460350848565702
A046,Where,-0.36800863478985896,-0.000356156529892184
A047,Where,-0.13226568760178245,-0.007900664708407813
A048,Where,0.24021356023402649,0.0012227476797227162
A049,Where,0.23488538850390642,0.002082401962788649
A050,Where,0.23342683486108082,-0.002417383344407582
A051,Where,0.23115520745942958,-0.00045644209405237135
A052,Where,0.06534443009530255,0.0005693482438244965
A053,Where,-0.10187879310491897,-0.003533411025472713
A054,Where,0.376280696267913,0.003253684049044599
A055,Where,0.07260552877525973,-0.00154557961189163
A056,Where,-0.2252562426900376,0.002163581830426757
A057,Where,-0.05883631381121065,-0.002477704066814864
A058,Where,0.15071781819574573,-0.0018745140513625102
A059,Where,0.020100496319950634,0.0019002570277368426
A060,Where,-0.09667939119922,0.007231085304290787
A061,Where,0.7117508924301308,-0.00023980885856091758
A062,Where,0.17331094436244399,-0.002374625210192607
A063,Where,-1.0770954859121427,0.00013650707618894156
A064,Where,0.09074100430259703,0.00033205891419788524
A065,Where,-0.33713225218292164,-0.003778941848293804
A066,Where,-0.013404974156306369,-0.0010135177983613204
A067,Where,-0.2647115976317171,-0.0032647833900360072
A068,Where,0.5374807768819491,-0.0002829247720577454
A069,Where,-0.5018562187732368,-0.001859487112074612
A070,Where,0.0006984823519401994,-0.0030564769728853845
A071,Where,0.0952100007004453,-0.00033511315131917036
A072,Where,0.44310325283228547,-0.0014088905106367754
A073,Where,-0.23181808032735016,0.0011430482697530836
A074,Where,0.07426975058969917,0.0011617535115563658
A075,Where,-0.2515563349879198,0.0027949569446866136
A076,Where,-0.2133299052868193,-0.002059883606724163
A077,Where,0.08016185572780109,0.0016057157337870513
A078,Where,-0.32049491490569165,-0.0003193172286247403
A079,Where,0.076889757367258,0.0011559752463363502
A080,Where,0.2834458374539439,-0.0002457183614548187
A081,Where,-0.1165871424692789,0.003771488598862758
A082,Where,0.1515368622234295,0.00038569886538649447
A083,Where,0.3462366170185803,3.7451558169845635e-05
A084,Where,-0.5960259812215266,0.0021605505642565597
A085,Where,0.3144015274562326,0.0022464160814976643
A086,Where,0.31528839167651057,-0.0010494752101316818
A087,Where,0.300024019498395,0.002203825151038258
A088,Where,0.2693387178885175,0.002158684372253776
A089,Where,0.25570037970192555,-0.00018741330047256213
A090,Where,-0.7230379243952637,-0.002650820855986464
A091,Where,-0.09028735073035227,0.004286996230890019
A092,Where,0.1372332185508757,0.0004718963282867438
A093,Where,-0.359546075497956,-0.006974665599083312
A094,Where,-0.47976246286686086,0.0031310718853881357
A095,Where,0.18830755726149978,-0.0011741135131420372
A096,Where,-0.005586136425118229,0.0032194053808055193
A097,Where,-0.6811092670450055,-0.003918166749813596
A098,Where,0.1581905869966665,0.0032834789755131
A099,Where,0.12627151092019243,0.006656088458725665
A100,Where,-0.21611186801309554,-0.005236551404879118
A101,Where,-0.46562033126753194,-0.00511656834954261
A102,Where,-0.0023302516574819163,0.003000746912277773
A103,Where,-1.210598560289605,-0.00043555925254536946
A104,Where,0.5081620428717636,-0.0048419369176421895
A105,Where,0.5136585948566661,-0.002244700006522588
A106,Where,0.17941462231451416,0.0010929687964381636
A107,Where,-1.2425367084485357,0.0007997819942793604
A108,Where,-0.4267430620291702,0.0034370810157179463
A109,Where,-0.9028452717365438,9.095418923786869e-05
A010,When,0.14764968323630415,0.00023516852136265344
A011,When,0.1382027840941736,-8.860839917283548e-05
A012,When,0.26785931954605835,0.0010648134993660918
A013,When,0.17081066023717495,0.00043143311958048196
A014,When,0.2993882311077508,0.0006433625060161152
A015,When,0.23811140595142866,0.0007603415088123426
A016,When,-0.10332550730320385,-0.0004627934375955043
A017,When,0.4871245413449367,0.0012506894729476209
A018,When,0.09522828954964109,0.0002691576528111943
A019,When,-0.9987876368837051,-0.00211639898530158
A020,When,-0.056759778973635926,-0.0005527070707949195
A021,When,0.2779861131469443,0.0006337105572192165
A022,When,-0.23564173295410829,-0.0007071260454287546
A023,When,0.28292820245490136,0.0010330649155445156
A024,When,0.05289365078148453,0.00018835041145343827
A025,When,-0.008368302081644442,-0.00029947681113660256
A026,When,0.023358696373456386,0.00018336701616198463
A027,When,-0.2139509179560243,-0.0008433720968175504
A028,When,0.08929574486385886,-5.823713745002504e-08
A029,When,0.33853266294338624,0.0008357543790326966
A030,When,0.057041355983940195,0.0004116614020419402
A031,When,0.12373959150450535,-8.733756335370652e-05
A032,When,0.4151007317528447,0.001279622307460887
A033,When,0.3649910995976285,0.0011368249706239695
A034,When,0.49159022509527045,0.0010894370655702395
A035,When,-0.086601907579564,-0.00022600346498358154
A036,When,-0.9855894559737675,-0.0024043877441296984
A037,When,0.03875076884631538,0.00010969893763930105
A038,When,0.43147499931543126,0.0012908669720025454
A039,When,0.4433195118516615,0.0012662141978405739
A040,When,0.24266309204590328,0.0006787425199065147
A041,When,0.26274978504921404,0.0007171232508701784
A042,When,-0.3279887033011355,-0.0005163546069501218
A043,When,0.4867792206466153,0.001203745018116192
A044,When,-0.44006694784500244,-0.0012075538593217
A045,When,0.21005231767194577,0.0006367444789180366
A046,When,-0.19962011104777558,-0.0003092013097726209
A047,When,-0.4432494301750118,-0.001379170227175444
A048,When,0.2648657628522886,0.000822680651913989
A049,When,0.30873515394434453,0.0009047707221045601
A050,When,-0.08661433943561733,-0.00046282357725458854
A051,When,0.4098596858117574,0.0009143463219653033
A052,When,0.10807385876201285,0.0005112278741717266
A053,When,-0.2141499078534572,-0.0007072055221577355
A054,When,0.3756392811665572,0.0010077463161787471
A055,When,-0.1648989635633631,-0.00030873148276045755
A056,When,-0.19197440936200844,-0.0005542471751845591
A057,When,0.02471361514362149,-0.00024970641469001587
A058,When,0.01656706210292148,-0.00014081988535981062
A059,When,0.14409414046909014,0.0008567004511588375
A060,When,0.23922029478989218,0.0008304514520250459
A061,When,0.4746435383051121,0.0012922565397286874
A062,When,-0.024633092141279178,-0.0002749612679417842
A063,When,-0.81244873620574,-0.002319299661230294
A064,When,0.23922768012931647,0.0007980016000549878
A065,When,-0.38725811235824564,-0.0014004443322936935
A066,When,-0.11007627582531788,-0.0005146453739636753
A067,When,-0.3769438789918789,-0.0008699467619325269
A068,When,0.4758414532092648,0.0010592860615803608
A069,When,-0.3231018308046642,-0.0007690921007307186
A070,When,-0.027180965762332095,-0.000337938174626809
A071,When,0.04147883182456005,0.00015114538490218222
A072,When,0.10126227070132494,0.0002341002811818007
A073,When,-0.026647894448477812,-1.4512858040211711e-05
A074,When,0.359602880419237,0.0012885601993626139
A075,When,-0.16869207922551066,-0.0004343609111288501
A076,When,-0.24579901004082502,-0.0007828833695171187
A077,When,0.2864131513159933,0.0009576669177667309
A078,When,-0.404220974442237,-0.0009371406941180436
A079,When,-0.05285992902021635,2.6262871337561836e-05
A080,When,0.12007097597425664,7.549318667600765e-05
A081,When,0.22899636059371947,0.0002334283904937024
A082,When,-0.01828525741250378,-0.00011092293808430007
A083,When,0.12103778995042327,0.00043309104400098984
A084,When,-0.5256373868077646,-0.0007777116581037935
A085,When,0.3731593887342496,0.0010188354392643515
A086,When,0.2610222223468439,0.00037965500313011
A087,When,0.18645010309505985,0.0003681297132381029
A088,When,0.3337931623243236,0.0010431824638362595
A089,When,0.3172065424966262,0.0007612659116952882
A090,When,-0.7572450938579476,-0.002012424385721018
A091,When,-0.20613408225198104,-0.0006092277549524475
A092,When,-0.04735627396057748,-0.0004999982217650858
A093,When,-0.6060171196162598,-0.0020077466233462933
A094,When,-0.2749017801510915,-0.0006112652325147442
A095,When,0.13772699991941276,0.00014344949828291642
A096,When,0.4944485100305534,0.0013833827400778224
A097,When,-0.6961028403113019,-0.001877119520220106
A098,When,0.32867612371637445,0.0009900412717869828
A099,When,0.3200023575057133,0.0011236828271617213
A100,When,-0.491533472536072,-0.0013729349583242465
A101,When,-0.6783814218014761,-0.001964143818820583
A102,When,0.12276033308321482,0.00037768497341400504
A103,When,-0.9269721706603511,-0.0020681492169737584
A104,When,0.09091330907687624,0.00011050766644063311
A105,When,0.2999801247957155,0.0007991672393916071
A106,When,0.19787432779711345,0.0008369589467863001
A107,When,-0.9239359274826491,-0.0019352682643786507
A108,When,0.11256540068156949,0.00043794833984226237
A109,When,-0.5245917196564243,-0.0013947809670430218
