UID,test,SD_confidence,N_items,mean_confidence
A020,3,0.30610634665367337,72,0.4694444444444445
A020,4,0.26203429514280363,72,0.375
A021,1,0.269454326005015,72,0.7250000000000001
A021,2,0.28234431083192546,72,0.6833333333333333
A021,3,0.30022161871572134,72,0.6527777777777778
A021,4,0.3595772165305907,72,0.6166666666666667
A022,1,0.33761336703765726,72,0.4694444444444445
A022,2,0.27371838217162936,72,0.39722222222222225
A022,3,0.339934634239519,72,0.47777777777777775
A022,4,0.20044941681405676,72,0.3194444444444444
A023,1,0.3352526900670345,72,0.6499999999999999
A023,2,0.3126443328660211,72,0.6499999999999999
A023,3,0.26179529448183847,72,0.6638888888888889
A023,4,0.3020923383796223,72,0.6527777777777778
A024,1,0.32253640718423,72,0.5861111111111111
A024,2,0.33472713293237333,72,0.5916666666666667
A024,3,0.31304451777590064,72,0.6055555555555556
A024,4,0.3058122410247232,72,0.5
A025,1,0.3215280418410513,72,0.7166666666666667
A025,2,0.3342592773218768,72,0.6194444444444445
A025,3,0.30753449365678054,72,0.5083333333333333
A025,4,0.22237866167998005,72,0.3111111111111111
A026,1,0.34139316890448745,72,0.6583333333333333
A026,2,0.34612769586763115,72,0.5861111111111111
A026,3,0.3332394233911024,72,0.6222222222222222
A026,4,0.34067042435199596,72,0.6333333333333333
A027,1,0.34630850042236727,72,0.675
A027,2,0.3484371545978203,72,0.6499999999999999
A027,3,0.2758966035261139,72,0.5222222222222223
A027,4,0.2661967690915958,72,0.41111111111111115
A028,1,0.2997651663045216,72,0.7833333333333333
A028,2,0.31745022899239483,72,0.6583333333333333
A028,3,0.3274480450731416,72,0.5305555555555556
A028,4,0.27644909143727436,72,0.4861111111111111
A029,1,0.23812977616698755,72,0.8361111111111111
A029,2,0.2695704576022632,72,0.7527777777777778
A029,3,0.2980242714170737,72,0.6861111111111111
A029,4,0.2968799676299644,72,0.6555555555555556
A030,1,0.3172159801945148,72,0.5722222222222223
A030,2,0.31839778862248247,72,0.6944444444444444
A030,3,0.3236987915767243,72,0.5472222222222222
A030,4,0.3304097138852518,72,0.5888888888888889
A031,1,0.18914187237976668,72,0.8833333333333333
A031,2,0.3850085867790271,72,0.6222222222222222
A031,3,0.3299831645537222,72,0.538888888888889
A031,4,0.278605964141269,72,0.41111111111111115
A032,1,0.37227885958750684,72,0.6333333333333333
A032,2,0.3626972508506894,72,0.44999999999999996
A032,3,0.3710999595374555,72,0.5444444444444445
A032,4,0.3380765810402834,72,0.6083333333333333
A033,1,0.3586511855918611,72,0.6194444444444445
A033,2,0.33172145488447524,72,0.5694444444444444
A033,3,0.3474814368894914,72,0.6694444444444445
A033,4,0.3437799638384649,72,0.48888888888888893
A034,1,0.22951264962530535,72,0.8500000000000001
A034,2,0.21227952753168797,72,0.8527777777777777
A034,3,0.27049771548851764,72,0.7583333333333333
A034,4,0.2756554289197979,72,0.6583333333333333
A035,1,0.29823424010638183,72,0.6416666666666667
A035,2,0.2893519822639247,72,0.6722222222222222
A035,3,0.3038485538257042,72,0.575
A035,4,0.2726442705771758,72,0.49444444444444446
A036,1,0.25672488822007866,72,0.44722222222222224
A036,2,0.19347736257210046,72,0.35555555555555557
A036,3,0.22094901301811154,72,0.3638888888888889
A036,4,0.1804185708841382,72,0.3111111111111111
A037,1,0.3384466957796959,72,0.7194444444444444
A037,2,0.3130945049247663,72,0.6333333333333333
A037,3,0.33734673097780044,72,0.5333333333333333
A037,4,0.3162277660168379,72,0.4166666666666667
A038,1,0.24565074384158042,72,0.7777777777777778
A038,2,0.29703806472165095,72,0.7277777777777777
A038,3,0.30210528898680805,72,0.7333333333333333
A038,4,0.31977104485359603,72,0.7166666666666667
A039,1,0.1733179841524616,72,0.8805555555555555
A039,2,0.22390404271537384,72,0.8472222222222222
A039,3,0.29070094986690553,72,0.7333333333333333
A039,4,0.3134941151766508,72,0.6555555555555556
A040,1,0.3722368203056171,72,0.5944444444444444
A040,2,0.3634300168557898,72,0.5555555555555556
A040,3,0.3339899635837099,72,0.4
A040,4,0.28983833387063845,72,0.3222222222222222
A041,1,0.3511550357818176,72,0.7250000000000001
A041,2,0.3841540509981361,72,0.49444444444444446
A041,3,0.344223514385675,72,0.6194444444444445
A041,4,0.3756267584435938,72,0.5555555555555556
A042,1,0.2983522825571178,72,0.4666666666666667
A042,2,0.25318008708135536,72,0.41111111111111115
A042,3,0.27401837892280223,72,0.4388888888888889
A042,4,0.24887854885742394,72,0.3944444444444445
A043,1,0.1743981378488114,72,0.9027777777777778
A043,2,0.19982386610409858,72,0.875
A043,3,0.22011520671083157,72,0.8
A043,4,0.27610922970676743,72,0.6805555555555556
A044,1,0.28216411610870246,72,0.4305555555555556
A044,2,0.29644476587979657,72,0.4527777777777778
A044,3,0.25328823418679514,72,0.35833333333333334
A044,4,0.20624066346772074,72,0.35000000000000003
A045,1,0.35664933484280953,72,0.5111111111111111
A045,2,0.3287001954157522,72,0.5111111111111111
A045,3,0.3425829349115988,72,0.5305555555555556
A045,4,0.28569164900266014,72,0.39166666666666666
A046,1,0.25891007858905796,72,0.6472222222222223
A046,2,0.2613914853379864,72,0.5388888888888889
A046,3,0.16725249155436342,72,0.4861111111111111
A046,4,0.2902160438581507,72,0.4833333333333334
A047,1,0.24379626682603214,72,0.6499999999999999
A047,2,0.2671210916818125,72,0.5861111111111111
A047,3,0.26095706840263166,72,0.5416666666666666
A047,4,0.19209739313875196,72,0.38333333333333336
A048,1,0.3222451559482025,72,0.6694444444444445
A048,2,0.29261916904189106,72,0.6527777777777778
A048,3,0.3406244840342964,72,0.5944444444444444
A048,4,0.3381691477012118,72,0.5527777777777778
A049,1,0.26163085488021504,72,0.8166666666666667
A049,2,0.3455847146390813,72,0.5027777777777778
A049,3,0.37024502312900803,72,0.5694444444444444
A049,4,0.3598708688592634,72,0.5083333333333333
A050,1,0.36919741232093667,72,0.6055555555555556
A050,2,0.3877526436738457,72,0.5249999999999999
A050,3,0.26830482745970985,72,0.3111111111111111
A050,4,0.25557936882995463,72,0.29444444444444445
A051,1,0.27264427057717583,72,0.8055555555555556
A051,2,0.24967898012095655,72,0.7861111111111111
A051,3,0.32655071238955874,72,0.5611111111111111
A051,4,0.31784436305152663,72,0.5694444444444444
A052,1,0.2765764319165785,72,0.7111111111111111
A052,2,0.3296391539714084,72,0.6083333333333333
A052,3,0.3102702139004046,72,0.525
A052,4,0.3321104328278686,72,0.5111111111111111
A053,1,0.31942828427519093,72,0.6777777777777777
A053,2,0.212279527531688,72,0.4527777777777778
A053,3,0.16781295944703573,72,0.4527777777777778
A053,4,0.1678362716593378,72,0.4666666666666667
A054,1,0.25262317065874546,72,0.8388888888888889
A054,2,0.31839778862248247,72,0.6944444444444444
A054,3,0.33154449586541795,72,0.6777777777777777
A054,4,0.32366253025308295,72,0.7055555555555555
A055,1,0.33734673097780044,72,0.6666666666666666
A055,2,0.31083712505082006,72,0.4833333333333334
A055,3,0.2897168225106999,72,0.44722222222222224
A055,4,0.2794892502433053,72,0.4361111111111111
A056,1,0.29814239699997197,72,0.6111111111111112
A056,2,0.28183114624216976,72,0.44722222222222224
A056,3,0.29787983209038704,72,0.5166666666666667
A056,4,0.2783249696530916,72,0.4166666666666667
A057,1,0.3369289639680201,72,0.6166666666666667
A057,2,0.339934634239519,72,0.5777777777777778
A057,3,0.32253640718423,72,0.4361111111111111
A057,4,0.20140352599120542,72,0.26666666666666666
A058,1,0.3618765211897829,72,0.6444444444444444
A058,2,0.3571754959376113,72,0.4444444444444444
A058,3,0.3417253470735685,72,0.46111111111111114
A058,4,0.2731603712462797,72,0.34444444444444444
A059,1,0.3140925772839137,72,0.6222222222222222
A059,2,0.37100506389197685,72,0.5305555555555556
A059,3,0.3390126508919523,72,0.4666666666666667
A059,4,0.3390011102321851,72,0.4972222222222222
A060,1,0.21477141467937552,72,0.7749999999999999
A060,2,0.30753449365678054,72,0.6916666666666667
A060,3,0.3411753595705451,72,0.6722222222222222
A060,4,0.35992522262852605,72,0.7055555555555555
A061,1,0.07505866250408014,72,0.9666666666666666
A061,2,0.2066197129760308,72,0.8888888888888888
A061,3,0.3622115170706082,72,0.6583333333333333
A061,4,0.33872401643731154,72,0.7138888888888889
A062,1,0.3219657929516518,72,0.7
A062,2,0.32687403593396974,72,0.5361111111111111
A062,3,0.30487689606255614,72,0.39722222222222225
A062,4,0.23012550158309975,72,0.3333333333333333
A063,1,0.22888106402900285,72,0.5527777777777778
A063,2,0.20960877187201973,72,0.4972222222222223
A063,3,0.19282919538168825,72,0.3666666666666667
A063,4,0.15704628864195688,72,0.3111111111111111
A064,1,0.29036429549818366,72,0.7361111111111112
A064,2,0.338908770806507,72,0.5583333333333333
A064,3,0.3313438280613752,72,0.5249999999999999
A064,4,0.34355227988485904,72,0.55
A065,1,0.3342592773218768,72,0.5305555555555556
A065,2,0.20932860854091978,72,0.3888888888888889
A065,3,0.12806492875916797,72,0.2777777777777778
A065,4,0.17361118935835482,72,0.31666666666666665
A066,1,0.3035007019041933,72,0.5833333333333334
A066,2,0.32755555980235396,72,0.5444444444444445
A066,3,0.3237108777819587,72,0.4666666666666667
A066,4,0.251552301222611,72,0.3805555555555556
A067,1,0.3355676292535037,72,0.575
A067,2,0.22841907509097115,72,0.3277777777777778
A067,3,0.22929093941601478,72,0.3194444444444444
A067,4,0.1838554239107687,72,0.26666666666666666
A068,1,0.19903916302930263,72,0.8694444444444445
A068,2,0.29021604385815075,72,0.7833333333333333
A068,3,0.30391292715619184,72,0.6944444444444444
A068,4,0.3218564109906383,72,0.625
A069,1,0.27521509584829384,72,0.6444444444444444
A069,2,0.22766419550621694,72,0.3666666666666667
A069,3,0.1625067712565398,72,0.275
A069,4,0.2435875577252669,72,0.3194444444444444
A070,1,0.3852930108701066,72,0.55
A070,2,0.36613277391912785,72,0.5055555555555555
A070,3,0.29865373462948314,72,0.3805555555555556
A070,4,0.22501956096504455,72,0.2916666666666667
A071,1,0.2863072318086211,72,0.7833333333333333
A071,2,0.2992818739292405,72,0.5972222222222222
A071,3,0.26917831265958214,72,0.4722222222222222
A071,4,0.31364383775870086,72,0.4722222222222222
A072,1,0.29598248901382146,72,0.7833333333333333
A072,2,0.3111767759899394,72,0.7583333333333333
A072,3,0.29703806472165095,72,0.6277777777777778
A072,4,0.3026745671240393,72,0.5722222222222223
A073,1,0.3166728440217839,72,0.5666666666666668
A073,2,0.2902160438581507,72,0.5166666666666667
A073,3,0.2259391805376713,72,0.6277777777777778
A073,4,0.26393850946046665,72,0.5361111111111111
A074,1,0.38050086421482887,72,0.6027777777777777
A074,2,0.3590872623358158,72,0.5416666666666666
A074,3,0.3339431042409913,72,0.3944444444444445
A074,4,0.352755750794101,72,0.47500000000000003
A075,1,0.3520452204556914,72,0.5472222222222222
A075,2,0.36497690024874174,72,0.5444444444444445
A075,3,0.1838554239107687,72,0.26666666666666666
A075,4,0.2992818739292405,72,0.39722222222222225
A076,1,0.3200156490696232,72,0.48888888888888893
A076,2,0.27247201978358293,72,0.41111111111111115
A076,3,0.24963196697505957,72,0.4277777777777778
A076,4,0.15744437873219289,72,0.26666666666666666
A077,1,0.3166604891910427,72,0.6972222222222223
A077,2,0.3499049725680617,72,0.48055555555555557
A077,3,0.32887868486475746,72,0.5027777777777778
A077,4,0.3643653775065746,72,0.5361111111111111
A078,1,0.2932602341696312,72,0.4138888888888889
A078,2,0.2878879976962002,72,0.4222222222222223
A078,3,0.28271819443535773,72,0.375
A078,4,0.20644922682123584,72,0.33611111111111114
A079,1,0.3267423501480665,72,0.6499999999999999
A079,2,0.3451882523746496,72,0.5833333333333334
A079,3,0.3213698185119306,72,0.48055555555555557
A079,4,0.30011734794111994,72,0.42500000000000004
A080,1,0.2852668080932077,72,0.7555555555555555
A080,2,0.3090193484985671,72,0.6833333333333333
A080,3,0.25415175435357823,72,0.6361111111111112
A080,4,0.28172006883269535,72,0.47500000000000003
A081,1,0.28906789927495635,72,0.7305555555555556
A081,2,0.2552577021809366,72,0.7138888888888889
A081,3,0.25976997167621885,72,0.6888888888888889
A081,4,0.21754067128234167,72,0.7
A082,1,0.3504077660439511,72,0.6055555555555556
A082,2,0.352411766557443,72,0.5555555555555556
A082,3,0.36065277280954217,72,0.5249999999999999
A082,4,0.29443189508793105,72,0.42500000000000004
A083,1,0.3397389221317858,72,0.7250000000000001
A083,2,0.3157696710151568,72,0.6027777777777777
A083,3,0.3076362504611722,72,0.6527777777777778
A083,4,0.29939950333594256,72,0.6222222222222222
A084,1,0.2553956089244742,72,0.5111111111111112
A084,2,0.22501956096504455,72,0.35833333333333334
A084,3,0.259875376416477,72,0.42500000000000004
A084,4,0.22052363348731485,72,0.41944444444444445
A085,1,0.3796052640500691,72,0.6111111111111112
A085,2,0.3535533905932738,72,0.7083333333333334
A085,3,0.3919275427270248,72,0.6361111111111111
A085,4,0.34355227988485904,72,0.44999999999999996
A086,1,0.3320043931304268,72,0.7138888888888889
A086,2,0.2803418436405358,72,0.75
A086,3,0.2967613395386222,72,0.5305555555555556
A086,4,0.271306466469275,72,0.5638888888888889
A087,1,0.31784436305152663,72,0.7694444444444444
A087,2,0.336743123378058,72,0.6611111111111111
A087,3,0.358400201207187,72,0.5666666666666667
A087,4,0.37176355081581086,72,0.5694444444444444
A088,1,0.34303943845865326,72,0.675
A088,2,0.30437601323607916,72,0.7444444444444445
A088,3,0.3039515446104009,72,0.6527777777777778
A088,4,0.3304925901025257,72,0.6916666666666667
A089,1,0.32792561849847235,72,0.7250000000000001
A089,2,0.29036429549818366,72,0.7138888888888889
A089,3,0.33450498310872684,72,0.5722222222222223
A089,4,0.3304925901025257,72,0.5583333333333333
A090,1,0.20202418547787013,72,0.4555555555555556
A090,2,0.24967898012095655,72,0.4138888888888889
A090,3,0.14238632453543593,72,0.3027777777777778
A090,4,0.11705167859393918,72,0.33055555555555555
A091,1,0.3033330753752192,72,0.6805555555555556
A091,2,0.2778043805727597,72,0.6472222222222223
A091,3,0.2884175160020213,72,0.5138888888888888
A091,4,0.346669826637819,72,0.5694444444444444
A092,1,0.370245023129008,72,0.5694444444444444
A092,2,0.3532544867292788,72,0.55
A092,3,0.3202111979110125,72,0.4666666666666667
A092,4,0.2753856308822242,72,0.4277777777777778
A093,1,0.2661967690915958,72,0.8111111111111111
A093,2,0.10312033173386038,72,0.7250000000000001
A093,3,0.13737990914474985,72,0.6166666666666667
A093,4,0.10007821667210685,72,0.5111111111111111
A094,1,0.28082986791024406,72,0.4527777777777778
A094,2,0.25769837155912595,72,0.49166666666666664
A094,3,0.251878699971271,72,0.37222222222222223
A094,4,0.2677793686924734,72,0.3611111111111111
A095,1,0.3062213545735668,72,0.7444444444444445
A095,2,0.3054922398477558,72,0.5361111111111111
A095,3,0.3390011102321851,72,0.5472222222222222
A095,4,0.2863072318086211,72,0.44999999999999996
A096,1,0.23256075989352443,72,0.8
A096,2,0.2774661789086819,72,0.6361111111111111
A096,3,0.24422916968278718,72,0.7083333333333334
A096,4,0.27360401117230987,72,0.7250000000000001
A097,1,0.3071908155904056,72,0.44999999999999996
A097,2,0.13794830176305695,72,0.3888888888888889
A097,3,0.16204869918536288,72,0.4277777777777778
A097,4,0.1285223594169884,72,0.3194444444444444
A098,1,0.3094621514195061,72,0.7027777777777778
A098,2,0.3472223787167097,72,0.5333333333333333
A098,3,0.3102702139004046,72,0.7250000000000001
A098,4,0.3454148579609112,72,0.5888888888888889
A099,1,0.25328823418679514,72,0.7749999999999999
A099,2,0.26001083401046365,72,0.7333333333333334
A099,3,0.2613914853379864,72,0.7388888888888889
A099,4,0.28569164900266014,72,0.8083333333333333
A100,1,0.08442941139559838,72,0.8138888888888889
A100,2,0.04613377839075397,72,0.8111111111111112
A100,3,0.14142135623730953,72,0.75
A100,4,0.11775149557642628,72,0.6277777777777778
A101,1,0.2677793686924734,72,0.46111111111111114
A101,2,0.27860596414126904,72,0.3888888888888889
A101,3,0.15704628864195688,72,0.2888888888888889
A101,4,0.1419735698032972,72,0.2888888888888889
A102,1,0.31656163318638886,72,0.6416666666666667
A102,2,0.3512441557720303,72,0.5972222222222222
A102,3,0.3485606442094486,72,0.46388888888888885
A102,4,0.3520563335204055,72,0.5333333333333333
A103,1,0.21183673992451507,72,0.3138888888888889
A103,2,0.14238632453543593,72,0.25277777777777777
A103,3,0.12205850466170061,72,0.24444444444444446
A103,4,0.08648952644490278,72,0.23888888888888887
A104,1,0.2771275645094775,72,0.7805555555555556
A104,2,0.3536529690745029,72,0.6666666666666666
A104,3,0.38965495751432827,72,0.5166666666666667
A104,4,0.23867133522855422,72,0.2777777777777778
A105,1,0.1885618083164127,72,0.8777777777777778
A105,2,0.2550890482463159,72,0.7833333333333333
A105,3,0.3296391539714084,72,0.5916666666666667
A105,4,0.29293987696794865,72,0.5805555555555555
A106,1,0.31567053604025774,72,0.7250000000000001
A106,2,0.3218564109906383,72,0.5583333333333333
A106,3,0.3252542041843473,72,0.6111111111111112
A106,4,0.35682480808090095,72,0.5666666666666668
A107,1,0.09685993307538344,72,0.2361111111111111
A107,2,0.05240685902856072,72,0.4083333333333334
A107,3,0.17726844094901528,72,0.3888888888888889
A107,4,0.13837306403823757,72,0.2972222222222223
A108,1,0.33388452081436276,72,0.44166666666666665
A108,2,0.2673553314213813,72,0.3416666666666667
A108,3,0.30456875796034727,72,0.4361111111111111
A108,4,0.25759207600639283,72,0.3888888888888889
A109,1,0.13380199324349076,72,0.6888888888888889
A109,2,0.1652048569426259,72,0.5555555555555556
A109,3,0.13794830176305697,72,0.6888888888888889
A109,4,0.09188514297326598,72,0.6472222222222223
