UID,location_type,random_intercept,random_slope
A097,Destination,-0.6712924864448913,0.15970234344389808
A098,Destination,-0.1774498641910249,0.15401938949810445
A099,Destination,1.0096782496128112,0.28897529406059835
A100,Destination,1.0854151667264649,-0.020449775001199124
A101,Destination,-0.8726934390512903,-0.018296587483974454
A102,Destination,-0.42336962376374515,0.08789679408690883
A103,Destination,-1.6831448990016467,0.07621864650258552
A104,Destination,0.15718146744922926,-0.5986907749339959
A105,Destination,0.8637190243335909,-0.11704893140139015
A106,Destination,0.1312136384676062,0.0632274120951415
A107,Destination,-0.9197172767964856,0.20440655306029593
A108,Destination,-1.1055000835963125,0.27775188849018606
A109,Destination,0.23849101439756823,0.2133162402013559
