composite_ID,n_ratings,n_unique_values,uses_full_scale,uses_extremes_only,rating_mean,rating_sd,pct_extremes,unique_values
A025_T1,36,5,False,False,0.7444,0.3113,55.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A025_T2,36,5,False,False,0.6833,0.3069,41.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A025_T3,36,5,False,False,0.5778,0.3010,25.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A025_T4,36,4,False,False,0.2944,0.1855,2.7778,"[0.2, 0.4, 0.6, 1.0]"
A026_T1,36,4,False,False,0.6889,0.3178,38.8889,"[0.2, 0.6, 0.8, 1.0]"
A026_T2,36,5,False,False,0.6167,0.3105,30.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A026_T3,36,5,False,False,0.6889,0.2514,27.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A026_T4,36,5,False,False,0.7167,0.2804,36.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A027_T1,36,5,False,False,0.7556,0.2986,50.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A027_T2,36,5,False,False,0.7389,0.2860,41.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A027_T3,36,5,False,False,0.5500,0.2230,8.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A027_T4,36,5,False,False,0.4000,0.2211,2.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A028_T1,36,5,False,False,0.7778,0.2936,61.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A028_T2,36,5,False,False,0.6889,0.2961,44.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A028_T3,36,5,False,False,0.5111,0.2767,19.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A028_T4,36,5,False,False,0.4167,0.1658,2.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A029_T1,36,4,False,False,0.9222,0.1718,80.5556,"[0.4, 0.6, 0.8, 1.0]"
A029_T2,36,4,False,False,0.7611,0.2574,50.0000,"[0.4, 0.6, 0.8, 1.0]"
A029_T3,36,5,False,False,0.6778,0.3029,41.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A029_T4,36,5,False,False,0.6556,0.2773,30.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A030_T1,36,5,False,False,0.5611,0.3012,25.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A030_T2,36,5,False,False,0.7167,0.2723,41.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A030_T3,36,5,False,False,0.5611,0.2741,19.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A030_T4,36,5,False,False,0.6333,0.3145,38.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A031_T1,36,3,False,False,0.9444,0.1212,80.5556,"[0.6, 0.8, 1.0]"
A031_T2,36,4,False,False,0.6667,0.3771,52.7778,"[0.2, 0.4, 0.8, 1.0]"
A031_T3,36,5,False,False,0.4889,0.2998,13.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A031_T4,36,5,False,False,0.4000,0.2625,11.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A032_T1,36,4,False,False,0.7000,0.3543,55.5556,"[0.2, 0.4, 0.6, 1.0]"
A032_T2,36,2,False,False,0.4444,0.3685,30.5556,"[0.2, 1.0]"
A032_T3,36,4,False,False,0.5333,0.3621,36.1111,"[0.2, 0.4, 0.6, 1.0]"
A032_T4,36,5,False,False,0.6222,0.3359,38.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A033_T1,36,5,False,False,0.5778,0.3359,33.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A033_T2,36,5,False,False,0.5278,0.3132,22.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A033_T3,36,5,False,False,0.6556,0.3484,44.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A033_T4,36,4,False,False,0.4444,0.3201,22.2222,"[0.2, 0.4, 0.6, 1.0]"
A034_T1,36,4,False,False,0.8722,0.2268,72.2222,"[0.2, 0.6, 0.8, 1.0]"
A034_T2,36,5,False,False,0.8833,0.2179,69.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A034_T3,36,5,False,False,0.7722,0.2673,44.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A034_T4,36,5,False,False,0.6833,0.2764,27.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A035_T1,36,5,False,False,0.6556,0.2813,27.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A035_T2,36,5,False,False,0.6889,0.2807,36.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A035_T3,36,5,False,False,0.5778,0.2740,16.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A035_T4,36,5,False,False,0.4667,0.2160,5.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A036_T1,36,4,False,False,0.4000,0.1764,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A036_T2,36,4,False,False,0.3278,0.1574,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A036_T3,36,4,False,False,0.3333,0.1563,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A036_T4,36,3,False,False,0.2722,0.1261,0.0000,"[0.2, 0.4, 0.6]"
A037_T1,36,5,False,False,0.7111,0.3414,52.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A037_T2,36,5,False,False,0.6500,0.2555,22.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A037_T3,36,5,False,False,0.5056,0.3214,19.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A037_T4,36,4,False,False,0.3222,0.2370,8.3333,"[0.2, 0.4, 0.8, 1.0]"
A038_T1,36,5,False,False,0.7500,0.2466,38.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A038_T2,36,5,False,False,0.6944,0.3073,41.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A038_T3,36,5,False,False,0.7056,0.3144,41.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A038_T4,36,5,False,False,0.6833,0.3245,38.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A039_T1,36,4,False,False,0.9111,0.1663,75.0000,"[0.4, 0.6, 0.8, 1.0]"
A039_T2,36,4,False,False,0.9278,0.1574,80.5556,"[0.4, 0.6, 0.8, 1.0]"
A039_T3,36,5,False,False,0.7889,0.2622,50.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A039_T4,36,5,False,False,0.6778,0.2992,30.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A040_T1,36,5,False,False,0.5444,0.3609,33.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A040_T2,36,4,False,False,0.5056,0.3636,33.3333,"[0.2, 0.4, 0.6, 1.0]"
A040_T3,36,3,False,False,0.3389,0.2975,16.6667,"[0.2, 0.4, 1.0]"
A040_T4,36,2,False,False,0.3111,0.2767,13.8889,"[0.2, 1.0]"
A041_T1,36,5,False,False,0.7833,0.3069,61.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A041_T2,36,3,False,False,0.4333,0.3543,27.7778,"[0.2, 0.4, 1.0]"
A041_T3,36,3,False,False,0.6222,0.3119,33.3333,"[0.2, 0.6, 1.0]"
A041_T4,36,4,False,False,0.5778,0.3614,38.8889,"[0.2, 0.4, 0.6, 1.0]"
A042_T1,36,5,False,False,0.3889,0.2208,5.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A042_T2,36,4,False,False,0.3167,0.1364,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A042_T3,36,4,False,False,0.3667,0.1453,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A042_T4,36,5,False,False,0.4000,0.2357,8.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A043_T1,36,3,False,False,0.9500,0.1190,83.3333,"[0.6, 0.8, 1.0]"
A043_T2,36,4,False,False,0.9222,0.1718,80.5556,"[0.4, 0.6, 0.8, 1.0]"
A043_T3,36,4,False,False,0.8444,0.2061,58.3333,"[0.4, 0.6, 0.8, 1.0]"
A043_T4,36,5,False,False,0.6944,0.2728,38.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A044_T1,36,5,False,False,0.3667,0.2028,2.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A044_T2,36,5,False,False,0.4167,0.2682,11.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A044_T3,36,3,False,False,0.2611,0.1137,0.0000,"[0.2, 0.4, 0.6]"
A044_T4,36,3,False,False,0.2944,0.1201,0.0000,"[0.2, 0.4, 0.6]"
A045_T1,36,3,False,False,0.5444,0.3547,33.3333,"[0.2, 0.6, 1.0]"
A045_T2,36,5,False,False,0.4944,0.2924,19.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A045_T3,36,5,False,False,0.5667,0.3283,30.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A045_T4,36,5,False,False,0.3944,0.2768,13.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A046_T1,36,5,False,False,0.5944,0.2285,13.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A046_T2,36,5,False,False,0.5222,0.2274,5.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A046_T3,36,4,False,False,0.4944,0.1666,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A046_T4,36,5,False,False,0.4444,0.2671,8.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A047_T1,36,5,False,False,0.6389,0.1990,5.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A047_T2,36,5,False,False,0.5556,0.2362,13.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A047_T3,36,4,False,False,0.5500,0.2279,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A047_T4,36,4,False,False,0.3667,0.1795,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A048_T1,36,5,False,False,0.6611,0.3121,38.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A048_T2,36,5,False,False,0.6611,0.2741,33.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A048_T3,36,5,False,False,0.5333,0.3232,27.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A048_T4,36,5,False,False,0.5278,0.3097,25.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A049_T1,36,5,False,False,0.8278,0.2364,61.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A049_T2,36,4,False,False,0.4667,0.3018,19.4444,"[0.2, 0.4, 0.6, 1.0]"
A049_T3,36,4,False,False,0.5833,0.3476,38.8889,"[0.2, 0.4, 0.6, 1.0]"
A049_T4,36,4,False,False,0.4444,0.3201,22.2222,"[0.2, 0.4, 0.6, 1.0]"
A050_T1,36,4,False,False,0.5944,0.3415,38.8889,"[0.2, 0.4, 0.6, 1.0]"
A050_T2,36,4,False,False,0.5611,0.3824,41.6667,"[0.2, 0.4, 0.6, 1.0]"
A050_T3,36,3,False,False,0.2333,0.1374,2.7778,"[0.2, 0.4, 1.0]"
A050_T4,36,2,False,False,0.2222,0.1315,2.7778,"[0.2, 1.0]"
A051_T1,36,5,False,False,0.8278,0.2589,61.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A051_T2,36,5,False,False,0.8056,0.2426,52.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A051_T3,36,5,False,False,0.5444,0.3113,25.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A051_T4,36,5,False,False,0.5611,0.2899,19.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A052_T1,36,5,False,False,0.6722,0.2755,27.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A052_T2,36,5,False,False,0.6167,0.2995,19.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A052_T3,36,5,False,False,0.5389,0.2701,13.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A052_T4,36,5,False,False,0.4944,0.3349,25.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A053_T1,36,5,False,False,0.6556,0.3077,33.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A053_T2,36,3,False,False,0.3889,0.1048,0.0000,"[0.2, 0.4, 0.6]"
A053_T3,36,2,False,False,0.4056,0.0329,0.0000,"[0.4, 0.6]"
A053_T4,36,3,False,False,0.4222,0.0786,0.0000,"[0.4, 0.6, 0.8]"
A054_T1,36,5,False,False,0.9056,0.1855,72.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A054_T2,36,5,False,False,0.7333,0.2906,44.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A054_T3,36,5,False,False,0.7222,0.2954,47.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A054_T4,36,5,False,False,0.7444,0.2852,50.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A055_T1,36,5,False,False,0.6722,0.3203,38.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A055_T2,36,5,False,False,0.4500,0.2598,8.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A055_T3,36,5,False,False,0.3833,0.1848,2.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A055_T4,36,4,False,False,0.3389,0.1990,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A056_T1,36,5,False,False,0.6278,0.2755,30.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A056_T2,36,4,False,False,0.4056,0.1914,5.5556,"[0.2, 0.4, 0.6, 1.0]"
A056_T3,36,5,False,False,0.4778,0.2174,5.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A056_T4,36,4,False,False,0.3556,0.1707,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A057_T1,36,5,False,False,0.5889,0.3264,33.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A057_T2,36,5,False,False,0.5000,0.2848,16.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A057_T3,36,5,False,False,0.3167,0.2179,5.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A057_T4,36,2,False,False,0.2056,0.0329,0.0000,"[0.2, 0.4]"
A058_T1,36,5,False,False,0.6500,0.3279,41.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A058_T2,36,4,False,False,0.3611,0.3012,16.6667,"[0.2, 0.4, 0.6, 1.0]"
A058_T3,36,4,False,False,0.4667,0.3432,27.7778,"[0.2, 0.4, 0.6, 1.0]"
A058_T4,36,4,False,False,0.3000,0.2082,5.5556,"[0.2, 0.4, 0.6, 1.0]"
A059_T1,36,5,False,False,0.6278,0.2755,25.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A059_T2,36,5,False,False,0.4444,0.3270,19.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A059_T3,36,5,False,False,0.4333,0.3249,19.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A059_T4,36,5,False,False,0.5056,0.3605,30.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A060_T1,36,5,False,False,0.7500,0.1965,19.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A060_T2,36,5,False,False,0.7556,0.2629,41.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A060_T3,36,5,False,False,0.7611,0.2821,47.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A060_T4,36,4,False,False,0.8611,0.2395,66.6667,"[0.2, 0.6, 0.8, 1.0]"
A061_T1,36,2,False,False,0.9944,0.0329,97.2222,"[0.8, 1.0]"
A061_T2,36,5,False,False,0.9056,0.2134,77.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A061_T3,36,4,False,False,0.7167,0.3210,50.0000,"[0.2, 0.4, 0.8, 1.0]"
A061_T4,36,5,False,False,0.7389,0.3393,58.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A062_T1,36,5,False,False,0.7389,0.3085,50.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A062_T2,36,5,False,False,0.5611,0.3085,25.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A062_T3,36,5,False,False,0.4000,0.2906,13.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A062_T4,36,5,False,False,0.3333,0.2211,2.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A063_T1,36,5,False,False,0.5167,0.1965,5.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A063_T2,36,4,False,False,0.4778,0.1959,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A063_T3,36,4,False,False,0.3556,0.1571,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A063_T4,36,4,False,False,0.3278,0.1426,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A064_T1,36,5,False,False,0.7833,0.2466,50.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A064_T2,36,5,False,False,0.5389,0.3393,30.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A064_T3,36,5,False,False,0.4611,0.2937,16.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A064_T4,36,5,False,False,0.5278,0.3237,22.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A065_T1,36,4,False,False,0.5167,0.3346,30.5556,"[0.2, 0.4, 0.6, 1.0]"
A065_T2,36,3,False,False,0.3444,0.1461,0.0000,"[0.2, 0.4, 0.6]"
A065_T3,36,3,False,False,0.2722,0.1070,0.0000,"[0.2, 0.4, 0.6]"
A065_T4,36,4,False,False,0.3000,0.1374,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A066_T1,36,5,False,False,0.4833,0.2421,11.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A066_T2,36,5,False,False,0.5222,0.2917,22.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A066_T3,36,5,False,False,0.4056,0.2687,11.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A066_T4,36,4,False,False,0.3333,0.1886,2.7778,"[0.2, 0.4, 0.6, 1.0]"
A067_T1,36,5,False,False,0.5056,0.3144,22.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A067_T2,36,4,False,False,0.2722,0.1346,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A067_T3,36,3,False,False,0.2444,0.0956,0.0000,"[0.2, 0.4, 0.6]"
A067_T4,36,3,False,False,0.2278,0.1346,2.7778,"[0.2, 0.4, 1.0]"
A068_T1,36,3,False,False,0.9278,0.1346,75.0000,"[0.6, 0.8, 1.0]"
A068_T2,36,5,False,False,0.8333,0.2472,63.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A068_T3,36,5,False,False,0.7056,0.2886,41.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A068_T4,36,5,False,False,0.6167,0.3069,27.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A069_T1,36,5,False,False,0.5611,0.2099,8.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A069_T2,36,3,False,False,0.3111,0.1523,0.0000,"[0.2, 0.4, 0.6]"
A069_T3,36,2,False,False,0.2389,0.0792,0.0000,"[0.2, 0.4]"
A069_T4,36,3,False,False,0.2667,0.1414,0.0000,"[0.2, 0.4, 0.6]"
A070_T1,36,3,False,False,0.5667,0.3815,41.6667,"[0.2, 0.6, 1.0]"
A070_T2,36,5,False,False,0.4778,0.3275,22.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A070_T3,36,4,False,False,0.3000,0.2285,8.3333,"[0.2, 0.4, 0.6, 1.0]"
A070_T4,36,3,False,False,0.2167,0.0726,0.0000,"[0.2, 0.4, 0.6]"
A071_T1,36,5,False,False,0.7722,0.2987,58.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A071_T2,36,5,False,False,0.6111,0.2865,19.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A071_T3,36,5,False,False,0.4778,0.2462,5.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A071_T4,36,5,False,False,0.4444,0.3059,13.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A072_T1,36,5,False,False,0.8778,0.2123,69.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A072_T2,36,5,False,False,0.8722,0.1952,58.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A072_T3,36,5,False,False,0.6667,0.2749,27.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A072_T4,36,5,False,False,0.5944,0.2560,19.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A073_T1,36,5,False,False,0.5722,0.3168,16.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A073_T2,36,5,False,False,0.5389,0.2741,11.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A073_T3,36,5,False,False,0.6056,0.2081,11.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
